,Value,Concept,MSA
Estimate Total Male,715237,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male Under 5 years,49331,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 5 to 9 years,49492,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 10 to 14 years,55081,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 15 to 17 years,33180,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 18 and 19 years,22438,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 20 to 24 years,57281,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 25 to 29 years,59844,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 30 to 34 years,45276,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 35 to 44 years,85107,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 45 to 54 years,88182,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 55 to 64 years,88072,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 65 to 74 years,50869,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male 75 to 84 years,24561,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Chicago-Naperville-Elgin
Estimate Total Male,2450317,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male Under 5 years,125306,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 5 to 9 years,122357,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 10 to 14 years,134917,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 15 to 17 years,84237,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 18 and 19 years,54567,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 20 to 24 years,141211,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 25 to 29 years,169636,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 30 to 34 years,172577,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 35 to 44 years,313163,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 45 to 54 years,343771,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 55 to 64 years,376506,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 65 to 74 years,251648,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male 75 to 84 years,115897,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Chicago-Naperville-Elgin
Estimate Total Male,1084521,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male Under 5 years,88848,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 5 to 9 years,91106,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 10 to 14 years,105558,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 15 to 17 years,58354,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 18 and 19 years,37015,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 20 to 24 years,87613,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 25 to 29 years,84585,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 30 to 34 years,84831,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 35 to 44 years,165064,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 45 to 54 years,133044,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 55 to 64 years,85916,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 65 to 74 years,41926,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
Estimate Total Male 75 to 84 years,15565,SEX BY AGE (HISPANIC OR LATINO),Chicago-Naperville-Elgin
